,name,description,member
1,AEBP2,TMEM53,colon
2,AEBP2,C1orf228,colon
3,AEBP2,FBXO31,colon
4,AEBP2,ADAMTSL5,colon
5,AEBP2,CTB-25B13.9,colon
6,AEBP2,MIR6791,colon
7,AEBP2,GPR108,colon
8,AEBP2,TRIP10,colon
9,AEBP2,GIPC1,colon
11,AEBP2,C2orf44,colon
12,AEBP2,FAM126A,colon
13,AEBP2,HMGCS1,colon
14,AEBP2,PWWP2A,colon
15,AEBP2,JUP,colon
16,AEBP2,NUMB,colon
17,AFF4,MIR31HG,colon
20,AFF4,MIR29B1,colon
23,AFF4,TERF2,colon
24,AFF4,CYB5B,colon
25,AFF4,AC009502.1,colon
26,AFF4,AC009502.4,colon
27,AFF4,Y_RNA,colon
28,AFF4,FLOT1,colon
29,AFF4,XXbac-BPG252P9.10,colon
30,AFF4,IER3,colon
31,AFF4,RN7SL353P,colon
7053,ARID3A,LIMA1,colon
7806,ARID3A,ACSS2,colon
10262,ARID3A,HMGCR,colon
17654,ARNTL,TRAP1,colon
17675,ARNTL,C15orf57,colon
17676,ARNTL,OIP5-AS1,colon
17692,ARNTL,C17orf59,colon
17714,ARNTL,CCDC61,colon
17724,ARNTL,YARS2,colon
17732,ARNTL,AIM1L,colon
17733,ARNTL,RPS6KA1,colon
17741,ARNTL,SH2D4A,colon
17745,ARNTL,PTP4A3,colon
17746,ARNTL,CTD-3064M3.4,colon
17749,ARNTL,OSBPL1A,colon
17762,ARNTL,SLC35C1,colon
25260,ASCL2,LUC7L,colon
25261,ASCL2,Z69890.1,colon
25263,ASCL2,SLC9A3R2,colon
25268,ASCL2,RAB26,colon
25269,ASCL2,SNORD60,colon
25270,ASCL2,SNHG19,colon
25271,ASCL2,TRAF7,colon
25276,ASCL2,CLUAP1,colon
25277,ASCL2,TRAP1,colon
25279,ASCL2,GSPT1,colon
25280,ASCL2,AC007216.1,colon
25281,ASCL2,TBX6,colon
25284,ASCL2,RP11-2C24.3,colon
25285,ASCL2,ST3GAL2,colon
25286,ASCL2,WWOX,colon
25288,ASCL2,SSU72,colon
25289,ASCL2,RP5-832C2.5,colon
25292,ASCL2,HES2,colon
25293,ASCL2,ESPN,colon
25298,ASCL2,CLSTN1,colon
25302,ASCL2,CLIC4,colon
25305,ASCL2,PPP1R8,colon
25307,ASCL2,SRSF4,colon
25311,ASCL2,TGFBR3,colon
25317,ASCL2,EFNA3,colon
25318,ASCL2,GBA,colon
25319,ASCL2,FAM189B,colon
